country,date,daily_vaccinations,vaccines
Argentina,2020-12-29,6483,Sputnik V
Argentina,2020-12-30,15656,Sputnik V
Argentina,2020-12-31,15656,Sputnik V
Argentina,2021-01-01,11070,Sputnik V
Argentina,2021-01-02,8776,Sputnik V
Argentina,2021-01-03,7400,Sputnik V
Argentina,2021-01-04,6483,Sputnik V
Argentina,2021-01-05,7984,Sputnik V
Argentina,2021-01-06,8173,Sputnik V
Argentina,2021-01-07,8363,Sputnik V
Argentina,2021-01-08,10519,Sputnik V
Argentina,2021-01-09,11942,Sputnik V
Argentina,2021-01-10,13365,Sputnik V
Argentina,2021-01-11,14788,Sputnik V
Argentina,2021-01-12,14056,Sputnik V
Argentina,2021-01-13,13323,Sputnik V
Argentina,2021-01-14,13320,Sputnik V
Argentina,2021-01-15,13317,Sputnik V
Argentina,2021-01-16,12971,Sputnik V
Argentina,2021-01-17,12624,Sputnik V
Argentina,2021-01-18,12278,Sputnik V
Argentina,2021-01-19,11932,Sputnik V
Argentina,2021-01-20,11586,Sputnik V
Argentina,2021-01-21,11704,Sputnik V
Argentina,2021-01-22,11263,Sputnik V
Argentina,2021-01-23,11124,Sputnik V
Argentina,2021-01-24,10342,Sputnik V
Argentina,2021-01-25,9046,Sputnik V
Austria,2021-01-05,3368,Pfizer/BioNTech
Austria,2021-01-06,3368,Pfizer/BioNTech
Austria,2021-01-07,3368,Pfizer/BioNTech
Austria,2021-01-08,7263,Pfizer/BioNTech
Austria,2021-01-09,5791,Pfizer/BioNTech
Austria,2021-01-10,4705,Pfizer/BioNTech
Austria,2021-01-11,5031,Pfizer/BioNTech
Austria,2021-01-12,6366,Pfizer/BioNTech
Austria,2021-01-13,7365,Pfizer/BioNTech
Austria,2021-01-14,8429,Pfizer/BioNTech
Austria,2021-01-15,7747,Pfizer/BioNTech
Austria,2021-01-16,7953,Pfizer/BioNTech
Austria,2021-01-17,10129,Pfizer/BioNTech
Austria,2021-01-18,11852,Pfizer/BioNTech
Austria,2021-01-19,12472,Pfizer/BioNTech
Austria,2021-01-20,12489,Pfizer/BioNTech
Austria,2021-01-21,12552,Pfizer/BioNTech
Austria,2021-01-22,11797,Pfizer/BioNTech
Austria,2021-01-23,11765,Pfizer/BioNTech
Austria,2021-01-24,9622,Pfizer/BioNTech
Bahrain,2020-12-23,943,"Pfizer/BioNTech, Sinopharm"
Bahrain,2020-12-24,11106,"Pfizer/BioNTech, Sinopharm"
Bahrain,2020-12-25,5789,"Pfizer/BioNTech, Sinopharm"
